site_id_from;site_id_to;iwait;inveht;xpen;xnum;cost
2862;4276;2.5;5.9;10;2;20.62
2863;4276;4.29;7.39;10;2;23.89
2924;4276;3.75;6.32;10;2;22.35
2925;4276;2.73;7.84;10;2;22.85
2926;4276;0.38;5.77;10;2;18.39
2937;4276;6;5.29;10;2;23.57
3014;4276;3.33;7.45;10;2;23.03
3317;4276;1.55;13.71;10;2;28.94
3318;4276;5;25.38;10;2;45.14
3349;4276;1.76;9.38;10;2;23.39
3798;4276;3.33;7.27;10;2;22.84
3799;4276;1.5;6.81;10;2;20.57
3962;4276;0.94;19.49;10;2;32.71
4077;4276;5;22.4;10;2;39.62
4138;4276;1;4.93;10;2;18.19
4142;4276;1.11;5.74;10;2;19.13
4149;4276;7.5;7.79;10;2;27.57
4151;4276;6;7.29;10;2;25.51
4187;4276;4.29;19.46;10;2;38.86
4304;4276;3.33;7.6;5;1;17.36
4308;4276;1.88;5.51;5;1;13.81
4309;4276;7.5;11.86;10;2;34.54
4351;4276;7.5;7.33;10;2;27.05
4352;4276;7.5;8.6;10;2;28.32
4355;4276;2.73;10.76;10;2;25.7
4357;4276;2.73;9.45;10;2;24.39
6159;4276;2.73;4.59;10;2;19.6
1658;2814;0.83;9.2;10;2;21.52
1659;2814;0.83;8.49;10;2;20.81
2025;2814;2.31;14.13;10;2;27.92
2359;2814;0.75;11.86;7.25;1.45;24.03
2360;2814;2;9.66;7;1.4;19.68
2363;2814;2;16.22;7;1.4;26.24
2368;2814;1.2;11.73;8.2;1.64;22.33
2369;2814;5;5.96;10;2;22.45
2576;2814;1.67;12.52;10;2;27.71
2589;2814;1.67;7.81;8.89;1.78;22.63
2590;2814;1.25;17.83;6.88;1.38;28.86
2591;2814;2.14;14.82;8.21;1.64;27.95
2592;2814;3.33;14.46;10;2;29.28
2593;2814;1.67;11.79;10;2;26.98
2594;2814;1.11;11.16;10;2;25.12
2597;2814;0.61;8.48;5;1;18.31
2616;2814;1.76;7.62;0;0;9.38
2628;2814;1.88;8.93;10;2;22.29
2629;2814;0.8;8.5;10;2;20.79
2630;2814;0.68;7.49;4.33;0.87;13.11
2686;2814;3.75;6.38;0;0;10.13
2785;2814;5.08;10.42;0;0;15.5
2786;2814;5.08;9.13;0;0;14.21
2787;2814;0.68;5.36;4.33;0.87;10.97
2788;2814;5.08;6.72;0;0;11.8
2790;2814;5.08;3.58;0;0;8.66
2791;2814;0.7;2.07;0;0;2.77
2793;2814;0.86;12.42;10;2;24.78
2794;2814;0.82;10.52;10;2;22.82
2795;2814;2.31;8.08;10;2;21.87
2811;2814;5;1.15;0;0;6.15
2860;2814;2;6.55;5;1;17.47
2861;2814;0.68;4.21;4.33;0.87;9.83
2862;2814;2.5;7.21;5;1;19.79
2863;2814;4.29;8.7;5;1;23.07
2924;2814;3.33;8.7;5;1;17.73
2925;2814;1;6.88;10;2;23.18
2926;2814;0.68;5.55;5;1;15.84
2937;2814;0.83;8.27;10;2;20.64
3014;2814;3.33;10.52;7.22;1.44;26.04
3317;2814;2.46;8.97;5;1;17.34
3318;2814;5;13.17;7.5;1.5;29.86
3349;2814;3.33;6.65;5;1;15.68
3798;2814;3.33;10.33;7.22;1.44;25.86
3799;2814;0.86;8;9.29;1.86;23.4
3962;2814;0.77;7.6;5;1;18.37
4077;2814;5;18.43;10;2;34.92
4138;2814;2;8.41;7;1.4;18.43
4142;2814;2;14.58;7;1.4;24.6
4149;2814;7.5;13.05;10;2;35.38
4151;2814;6;8.6;5;1;24.68
4187;2814;4.29;8.38;10;2;27.95
4276;2814;1.43;20.96;5;1;31.67
4304;2814;3.33;13.15;10;2;27.97
4308;2814;1.88;11.06;10;2;24.42
4309;2814;7.5;29.64;5;1;45.89
4351;2814;7.5;3.36;5;1;16.56
4352;2814;7.5;4.63;5;1;17.83
4355;2814;7.5;8.08;5;1;21.28
4357;2814;0.75;5.88;9.5;1.9;17.59
6159;2814;2.73;9.85;10;2;27.4
1658;2025;1.88;10.61;0;0;12.48
1659;2025;1.88;9.9;0;0;11.77
2359;2025;6;10.26;5;1;25.01
2360;2025;1.25;7.94;5;1;17.94
2363;2025;3.75;1.24;0;0;4.99
2368;2025;1.25;3.84;5;1;13.84
2369;2025;5;10.63;10;2;28.29
2576;2025;1.36;9.78;8.41;1.68;24.21
2589;2025;1.11;15.3;8.33;1.67;26.66
2590;2025;3.33;17.62;5;1;27.83
2591;2025;3.33;8.74;7.78;1.56;23.13
2592;2025;3.33;15.41;5;1;25.62
2593;2025;1.67;10.27;8.06;1.61;23.78
2594;2025;1.88;12.94;5;1;21.69
2597;2025;1.25;5.4;5;1;15.4
2616;2025;0.81;15.76;5;1;22.68
2628;2025;1.88;9.88;5;1;18.63
2629;2025;0.8;9.46;5;1;17.13
2630;2025;1.88;7.78;0;0;9.65
2686;2025;3.75;16.7;10;2;33.11
2785;2025;1.63;8.78;5;1;17.29
2786;2025;1.63;10.15;5;1;18.66
2787;2025;0.79;9.64;5;1;17.3
2788;2025;1.63;12.99;5;1;21.5
2790;2025;1.14;15.43;5;1;24.01
2791;2025;0.79;12.54;5;1;20.2
2793;2025;1.88;2.59;0;0;4.46
2794;2025;1.88;4.15;0;0;6.03
2795;2025;1.88;5.82;0;0;7.7
2811;2025;0.75;14.7;5;1;24.2
2814;2025;0.54;16.67;10;2;31.39
2860;2025;2;11.73;10;2;26.39
2861;2025;0.79;10.58;5;1;18.24
2862;2025;1.3;13.35;9.13;1.83;25.96
2863;2025;2.14;12.27;10;2;26.72
2924;2025;3.75;10.09;5;1;22.59
2925;2025;2.73;11.61;5;1;23.09
2926;2025;0.6;11.3;5;1;20.12
2937;2025;0.83;6.76;5;1;13.71
3014;2025;3.33;13.13;7.78;1.56;28.33
3317;2025;2.46;18.04;10;2;32.42
3318;2025;10;30.03;10;2;52.75
3349;2025;3.75;11.75;5;1;24.25
3798;2025;3.33;12.94;7.78;1.56;28.14
3799;2025;2.73;10.11;5;1;21.59
3962;2025;0.77;25.43;10;2;39.25
4077;2025;5;28.9;10;2;46.56
4138;2025;1.25;8.69;5;1;18.69
4142;2025;1.25;2.48;5;1;12.48
4149;2025;7.5;18.32;5;1;31.93
4151;2025;6;13.79;10;2;32.45
4187;2025;4.29;10.02;10;2;26.25
4276;2025;1.43;14.77;5;1;23.07
4304;2025;3.33;14.1;5;1;24.31
4308;2025;1.88;12.01;5;1;20.76
4309;2025;7.5;3.28;5;1;16.89
4351;2025;3.75;12.76;10;2;28.82
4352;2025;3.75;12.77;10;2;28.83
4355;2025;0.75;12.44;8.12;1.62;22.95
4357;2025;0.83;9.24;5;1;16.19
6159;2025;2.73;6.77;10;2;24.5
1658;2795;1.88;4.79;0;0;6.67
1659;2795;1.88;4.08;0;0;5.96
2025;2795;2.31;6.05;0;0;8.36
2359;2795;1.11;10.06;10;2;22.86
2360;2795;1.25;4.85;10;2;17.79
2363;2795;3.75;7.29;5;1;18.35
2368;2795;1.88;5.55;5;1;13.26
2369;2795;5;4.81;10;2;21.44
2576;2795;1.67;7.82;8.06;1.61;18.9
2589;2795;3.33;13.15;5;1;22.32
2590;2795;3.33;11.8;5;1;20.97
2591;2795;2.14;8.51;6.79;1.36;18.58
2592;2795;3.33;9.59;5;1;18.76
2593;2795;1.67;7.09;8.06;1.61;18.17
2594;2795;1.88;7.12;5;1;14.83
2597;2795;0.85;3.9;5;1;10.59
2616;2795;0.79;7.87;10;2;20.29
2628;2795;1.88;4.06;5;1;11.77
2629;2795;0.8;3.64;5;1;10.27
2630;2795;0.84;1.96;0;0;2.8
2686;2795;3.75;10.88;10;2;26.26
2785;2795;1.63;2.96;5;1;10.43
2786;2795;1.63;4.33;5;1;11.8
2787;2795;0.79;3.82;5;1;10.45
2788;2795;1.63;7.17;5;1;14.64
2790;2795;1.14;8.78;6.52;1.3;17.51
2791;2795;0.79;6.72;5;1;13.35
2793;2795;2.31;3.07;0;0;5.38
2794;2795;2.31;1.34;0;0;3.65
2811;2795;0.4;7.39;10;2;19.41
2814;2795;3;12.09;10;2;26.78
2860;2795;2;5.91;10;2;19.54
2861;2795;0.79;4.76;5;1;11.39
2862;2795;2.5;6.58;10;2;20.71
2863;2795;4.29;8.07;10;2;23.98
2924;2795;3.75;7;10;2;22.44
2925;2795;2.73;8.52;10;2;22.94
2926;2795;0.38;6.45;10;2;18.48
2937;2795;0.73;12.8;5.61;1.12;21.38
3014;2795;3.33;8.13;10;2;23.12
3317;2795;4.17;14.14;10;2;29.93
3318;2795;10;24.21;10;2;45.9
3349;2795;1.76;10.06;10;2;23.48
3798;2795;3.33;7.95;10;2;22.93
3799;2795;1.5;7.49;10;2;20.66
3962;2795;0.94;20.17;10;2;32.8
4077;2795;5;23.08;10;2;39.71
4138;2795;1;5.61;10;2;18.28
4142;2795;1.11;6.42;10;2;19.22
4149;2795;7.5;8.47;10;2;27.66
4151;2795;6;7.97;10;2;25.6
4187;2795;4.29;17.01;10;2;34.44
4276;2795;1.43;8.95;5;1;17.25
4304;2795;3.33;8.28;5;1;17.45
4308;2795;1.88;6.19;5;1;13.9
4309;2795;7.5;9.33;5;1;25.58
4351;2795;7.5;8.01;10;2;27.14
4352;2795;7.5;9.28;10;2;28.41
4355;2795;2.73;11.44;10;2;25.79
4357;2795;0.64;14.8;6.17;1.23;23.76
6159;2795;2.73;5.27;10;2;19.69
1658;2369;0.83;11.35;10;2;29.18
1659;2369;0.83;10.64;10;2;28.47
2025;2369;3.75;11.47;10;2;27.33
2359;2369;1.67;2.97;5;1;11
2360;2369;5;2.07;0;0;7.07
2363;2369;5;8.63;0;0;13.63
2368;2369;5;5.37;0;0;10.37
2576;2369;1.67;7.21;5;1;18.88
2589;2369;1.67;5.06;5;1;13.09
2590;2369;2;6.13;10;2;21.16
2591;2369;6;4.93;5;1;17.29
2592;2369;1.25;8.84;8.12;1.62;21.98
2593;2369;1.67;6.48;5;1;18.15
2594;2369;1.11;5.95;5;1;17.06
2597;2369;5;3.02;0;0;8.02
2616;2369;0.81;9.79;5;1;17.36
2628;2369;2;6.91;5;1;18.91
2629;2369;2;7.81;5;1;19.81
2630;2369;0.57;8.34;8.58;1.72;20.38
2686;2369;0.91;16.87;7.12;1.42;27.21
2785;2369;1.57;8.56;10;2;23.16
2786;2369;1.57;7.27;10;2;21.87
2787;2369;1.67;6.02;5;1;14.05
2788;2369;1.57;6.62;10;2;20.24
2790;2369;1.14;6.9;8.48;1.7;19.46
2791;2369;0.65;7.53;9.13;1.83;19.87
2793;2369;0.86;12.5;10;2;30.18
2794;2369;1.52;11.41;5;1;22.93
2795;2369;1.52;13.08;5;1;24.6
2811;2369;0.75;7.75;5;1;14.86
2814;2369;0.65;9.44;10;2;22.21
2860;2369;2;8.94;6.33;1.27;18.82
2861;2369;0.68;5.29;5;1;12.34
2862;2369;2.73;6.43;5;1;15.53
2863;2369;4.29;7.18;5;1;17.83
2924;2369;1;2.06;5;1;9.42
2925;2369;1.36;2.5;0;0;3.86
2926;2369;1.36;3.71;0;0;5.07
2937;2369;2.14;6.49;5;1;14.99
3014;2369;3.33;3.3;5;1;14.61
3317;2369;2.46;12.07;10;2;27.1
3318;2369;5;28.51;7.5;1.5;43.13
3349;2369;3.75;3.88;5;1;17.63
3798;2369;6;1.55;5;1;13.91
3799;2369;1.36;1;0;0;2.36
3962;2369;4.29;15.93;10;2;32.33
4077;2369;5;32.5;10;2;50.11
4138;2369;5;0.82;0;0;5.82
4142;2369;5;6.99;0;0;11.99
4149;2369;7.5;2.57;5;1;16.43
4151;2369;6;8.5;10;2;26.55
4187;2369;4.29;6.54;5;1;17.19
4276;2369;6;20.6;10;2;39.63
4304;2369;3.33;8.1;5;1;21.43
4308;2369;1.88;6.01;5;1;17.89
4309;2369;7.5;11.17;10;2;35.34
4351;2369;7.5;8.22;5;1;22.08
4352;2369;7.5;6.96;5;1;20.82
4355;2369;1.15;4.44;5;1;11.95
4357;2369;1.15;5.76;5;1;13.27
6159;2369;2.73;4.39;5;1;17.12
1658;2589;0.83;13.17;5;1;22.75
1659;2589;0.83;12.46;5;1;22.04
2025;2589;0.88;14.14;5;1;21.69
2359;2589;1.3;9.48;8.91;1.78;23.8
2360;2589;1.25;11.29;5;1;21.29
2363;2589;1.11;10.45;5;1;20.31
2368;2589;3.75;7.19;0;0;10.94
2369;2589;5;13.65;10;2;33.19
2576;2589;4.29;9.63;0;0;13.92
2590;2589;2;1.07;0;0;3.07
2591;2589;2;2.4;0;0;4.4
2592;2589;2;3.44;0;0;5.44
2593;2589;4.29;10.28;0;0;14.57
2594;2589;3.75;6.04;0;0;9.79
2597;2589;0.6;7.22;5;1;14.73
2616;2589;0.81;9.16;5;1;16.84
2628;2589;3.75;8.73;0;0;12.48
2629;2589;3.75;9.63;0;0;13.38
2630;2589;3.75;10.8;0;0;14.55
2686;2589;2.14;14.77;10;2;30.42
2785;2589;1.63;11.8;5;1;22.18
2786;2589;1.63;13.17;5;1;23.55
2787;2589;0.79;12.66;5;1;22.2
2788;2589;1.63;16.01;5;1;26.39
2790;2589;1.14;18.55;5;1;28.44
2791;2589;0.68;9.88;9.09;1.82;22.45
2793;2589;0.8;15.12;5;1;23.78
2794;2589;1.38;11.98;5;1;22.11
2795;2589;2.31;12.05;5;1;23.11
2811;2589;0.4;8.87;10;2;22.9
2814;2589;0.65;18.93;10;2;33.34
2860;2589;2.73;11.38;8.18;1.64;25.26
2861;2589;0.68;6.19;9.55;1.91;20.42
2862;2589;2.73;7.97;8.18;1.64;21.85
2863;2589;4.29;6.08;10;2;23.89
2924;2589;0.79;8.61;8.95;1.79;22.45
2925;2589;1;5.42;10;2;20.62
2926;2589;3;4.08;5;1;13.28
2937;2589;3.33;1.55;0;0;4.88
3014;2589;7.5;5.3;5;1;19.8
3317;2589;2.46;11.44;10;2;26.58
3318;2589;5;23.5;10;2;41.84
3349;2589;3.75;15.1;5;1;27.6
3798;2589;7.5;6.18;5;1;20.68
3799;2589;1.43;6.31;9.05;1.81;20.57
3962;2589;0.94;21.35;10;2;34.97
4077;2589;5;26.26;10;2;43.98
4138;2589;1.25;12.04;5;1;22.04
4142;2589;1.11;8.81;5;1;18.67
4149;2589;7.5;8.71;5;1;23.21
4151;2589;6;10.74;10;2;36.24
4187;2589;4.29;5.44;10;2;23.25
4276;2589;1.43;17.33;10;2;33.34
4304;2589;2;5.01;0;0;7.01
4308;2589;1.88;7.83;5;1;18.45
4309;2589;7.5;12.38;5;1;27.02
4351;2589;7.5;10.85;5;1;26.68
4352;2589;7.5;9.59;5;1;25.42
4355;2589;3;5.61;5;1;14.81
4357;2589;0.65;4.66;5;1;13.18
6159;2589;2.73;9.58;5;1;19.31
1658;2359;0.83;7.01;10;2;19.94
1659;2359;0.83;6.3;10;2;19.23
2025;2359;1.43;12.09;10;2;25.62
2360;2359;1.67;4.26;5;1;12.29
2363;2359;1.67;10.82;5;1;18.85
2368;2359;1.67;7.56;5;1;15.59
2369;2359;1.36;0.86;0;0;2.22
2576;2359;1.67;9.65;10;2;23.76
2589;2359;1.67;5.92;5;1;13.95
2590;2359;2;6.99;10;2;22.02
2591;2359;6;5.79;5;1;18.15
2592;2359;1.25;10.45;10;2;24.38
2593;2359;1.67;8.92;10;2;23.03
2594;2359;1.11;8.52;10;2;21.96
2597;2359;1.3;5.18;5;1;12.85
2616;2359;0.81;10.65;5;1;18.22
2628;2359;1.88;6.74;10;2;20.71
2629;2359;0.8;6.32;10;2;19.21
2630;2359;0.79;4.64;5;1;11.73
2686;2359;2.14;10.85;10;2;25.19
2785;2359;1.57;5.32;5;1;13.2
2786;2359;1.57;4.03;5;1;11.91
2787;2359;1.3;2.78;0;0;4.08
2788;2359;1.63;4.48;5;1;12.42
2790;2359;1.63;7.42;5;1;15.36
2791;2359;0.79;5.68;5;1;12.77
2793;2359;0.86;10.24;10;2;23.2
2794;2359;0.82;8.33;10;2;21.24
2795;2359;2.31;5.89;10;2;20.29
2811;2359;0.75;8.61;5;1;15.72
2814;2359;1.25;11.39;7.92;1.58;22.48
2860;2359;2;5.57;8.67;1.73;18.13
2861;2359;0.79;3.72;5;1;10.81
2862;2359;2.73;7.29;5;1;16.39
2863;2359;4.29;8.04;5;1;18.69
2924;2359;1;2.92;5;1;10.28
2925;2359;1.36;3.36;0;0;4.72
2926;2359;1.36;4.57;0;0;5.93
2937;2359;2.14;7.35;5;1;15.85
3014;2359;6;3.45;5;1;15.81
3317;2359;1.55;12.99;10;2;26.94
3318;2359;5;24.31;10;2;41.78
3349;2359;3.75;4.58;10;2;20.69
3798;2359;6;2.41;5;1;14.77
3799;2359;1.36;1.86;0;0;3.22
3962;2359;4.29;16.79;10;2;33.19
4077;2359;5;22.04;10;2;39.13
4138;2359;1.67;3.01;5;1;11.04
4142;2359;1.67;9.18;5;1;17.21
4149;2359;7.5;3.43;5;1;17.29
4151;2359;6;6.93;10;2;25.02
4187;2359;4.29;7.4;5;1;18.05
4276;2359;1.03;13.84;9.14;1.83;28.44
4304;2359;1.25;10.94;10;2;24.87
4308;2359;1.88;8.87;10;2;22.84
4309;2359;7.5;17.35;10;2;38.35
4351;2359;3.75;8.02;7.5;1.5;21
4352;2359;3.75;8.03;7.5;1.5;21.01
4355;2359;1.15;5.3;5;1;12.81
4357;2359;1.15;6.62;5;1;14.13
6159;2359;2.73;6.55;10;2;21.95
1658;3962;0.73;20.33;10;2;36.82
1659;3962;0.83;19.56;10;2;36.25
2025;3962;2.31;25.2;10;2;43.36
2359;3962;1.36;19.76;10;2;36.18
2360;3962;3.33;16.78;10;2;32.66
2363;3962;3.33;23.34;10;2;39.22
2368;3962;3.33;20.08;10;2;35.96
2369;3962;1.07;19.41;10;2;35.71
2576;3962;4.29;24.82;10;2;44.96
2589;3962;7.5;17.01;10;2;37.05
2590;3962;1.76;25.65;10;2;45.61
2591;3962;6;19.67;10;2;41.52
2592;3962;3.33;25.53;10;2;44.72
2593;3962;4.29;24.09;10;2;44.23
2594;3962;1.88;23.06;10;2;40.79
2597;3962;0.75;10.88;10;2;23.65
2616;3962;1.24;8.94;5;1;20.99
2628;3962;1.88;20;10;2;37.73
2629;3962;0.8;19.58;10;2;36.23
2630;3962;0.68;13.53;9.33;1.87;25.85
2686;3962;2.14;12.09;10;2;26.89
2785;3962;5.08;16.53;5;1;27.38
2786;3962;5.08;15.24;5;1;26.09
2787;3962;0.68;11.39;9.33;1.87;23.71
2788;3962;5.08;12.83;5;1;23.68
2790;3962;5.08;9.69;5;1;20.54
2791;3962;1.78;8.09;5;1;15.63
2793;3962;0.86;23.5;10;2;40.21
2794;3962;0.82;21.59;10;2;38.26
2795;3962;2.31;19.15;10;2;37.31
2811;3962;1.26;4.27;5;1;11.29
2814;3962;1.26;6.1;5;1;13.12
2860;3962;1.88;11.63;6.25;1.25;27.9
2861;3962;0.65;7.26;9.36;1.87;19.14
2862;3962;2.5;13.32;10;2;31.67
2863;3962;4.29;14.81;10;2;34.95
2924;3962;3.33;14.72;10;2;30.6
2925;3962;0.86;21.3;10;2;39.36
2926;3962;0.75;8.31;10;2;21.08
2937;3962;0.83;12.06;10;2;33.73
3014;3962;6;17.33;10;2;39.18
3317;3962;10;3.77;0;0;13.77
3318;3962;10;5.43;0;0;15.43
3349;3962;3.33;12.67;10;2;28.55
3798;3962;6;16.29;10;2;38.14
3799;3962;1.11;20.53;10;2;36.85
4077;3962;5;20.23;10;2;45.48
4138;3962;3.33;15.53;10;2;31.41
4142;3962;3.33;21.7;10;2;37.58
4149;3962;7.5;18.78;10;2;52.28
4151;3962;6;14.71;10;2;36.56
4187;3962;4.29;20.23;10;2;45.35
4276;3962;1.43;27.02;10;2;43.5
4304;3962;3.33;24.22;10;2;43.41
4308;3962;1.88;22.13;10;2;39.86
4309;3962;7.5;32.48;10;2;65.98
4351;3962;7.5;9.38;10;2;29.42
4352;3962;7.5;10.65;10;2;30.69
4355;3962;2.73;16.23;10;2;33.6
4357;3962;0.75;9.9;10;2;30.66
6159;3962;2.73;23.73;10;2;47.21
1658;2785;0.83;3.74;5;1;11.14
1659;2785;0.83;3.03;5;1;10.43
2025;2785;2.31;8.67;5;1;17.55
2359;2785;1.11;6.67;10;2;20.46
2360;2785;1;4.52;9;1.8;16.78
2363;2785;1.11;8.51;8.89;1.78;20.75
2368;2785;1.88;4.96;5;1;13.41
2369;2785;5;3.5;5;1;15.13
2576;2785;1.67;7.23;8.06;1.61;19.05
2589;2785;1.11;9.76;8.33;1.67;21.31
2590;2785;3.33;11.21;5;1;21.11
2591;2785;2.14;7.92;6.79;1.36;18.72
2592;2785;3.33;9;5;1;18.9
2593;2785;1.67;6.5;8.06;1.61;18.32
2594;2785;1.88;6.53;5;1;14.98
2597;2785;0.85;3.31;5;1;10.73
2616;2785;0.79;8.45;5;1;15.87
2628;2785;1.88;3.47;5;1;11.92
